a	art.一（人，事，物），每一，任何一
announcement	n.通告，布告，告示
annual	n.年刊，年报，一年生植物 a.每年的，一年一次的
annually	ad.一年一次地
anonymous	a.匿名的，无名的，姓氏不明的
another	a.另外的
answer	vt.回答
anticipate	vt.预期
anxiety	n.焦虑
anxious	a.担心的；渴望的
any	adj./pron.任何；任何一个；一些
anybody	pron.任何人
anymore	ad.不再, 再也不
anyone	pron.任何一个
anything	pron.任何事
anyway	ad.究竟；无论如何
anywhere	adv.无论何处，什么地方
apart	ad.分离，分开
apartment	n.房间，公寓
apologize	vi.道歉，谢罪
apology	n.道歉，认错，谢罪
apparent	a.显然的，外观上的
apparently	ad.显然，似乎
appeal	vi.引起兴趣；有感染力；有吸引力
appear	n.&amp;v.出现，问世；好像是
appearance	n.外表
apple	n.苹果 , n.苹果公司
application	n.申请
apply	vi.申请，请求；适用 vt.应用，运用
appoint	vt.任命，委任(as)；约定，指定
appointment	n.任命；约定
appreciate	vt.欣赏，鉴赏；感谢，感激
appreciation	n.欣赏；感激
approach	n.方式，方法 v.靠近，接近，接洽，要求
appropriate	a.适宜的
approval	n.批准，通过；赞成，同意
approve	vt.赞成，同意；批准，核准
approximately	ad.近似地，大约地
Arab	Arab n.阿拉伯人 , n. 阿拉伯人
architect	n.建筑师，设计师，缔造者，创造者
architecture	n.建筑术；建筑学
area	n.地区
arena	n.(供竞技、表演等用的)场地
argue	vt.争辩
argument	n.争论；辩论
arise	vi.出现，发生；(from)由…引起
arm	手臂
armed	adj.武装的，持枪的
army	n.军队，陆军，大群，大批
around	prep.在…四周 adv.各处
arrange	v.作安排，筹划
arrangement	n.安排
array	n.列阵
arrest	vt.逮捕
arrival	n.到达
arrive	v.到来，到达；达成(at)
arrow	n.箭
art	art n.艺术 , 美术课
article	n.文章，论文；条款，条文；物件；冠词
articulate	vt.明确有力地表达
artifact	n．典型产物
artificial	a.人工的，人造的；假的，矫揉造作的
artist	n.画家，艺术家
artistic	a.艺术的；艺术家的；富有艺术性的
as	v.有;存在;位于;在(某处);在...发生
ash	n.灰；灰烬，灰堆
Asian	n.亚洲人 adj.亚洲的，亚洲人的
aside	ad.在旁边；到(向)一边
ask	vt.问
asleep	a.睡着的，睡熟
aspect	n.方面
ass	n.笨蛋，傻瓜；驴
assault	n.攻击，袭击；(军)冲击，突击，强击
assemble	vt.集合
assembly	n.组装；集会
assert	vt.宣称，断言
assess	vt.估计，估价；评估
assessment	n.估定；查定；估计数
asset	n.资产，所有物
assign	assign v.指派，指定；分配；过户；转让 , 分配
assignment	n.(布置的)作业
assist	v.帮忙
assistance	n.help, aid 协作; 援助; 帮助
assistant	n.助理，助手
associate	vt.联想
associated	关联的
association	n.联想
assume	vt.假设，主观认为
assumption	n.假定，设想；承担，采取
assure	vt.使确信，使放心(of)；向…保证
astronomer	n.天文学家
at	在
athlete	n.运动员
athletic	a.运动的；运动员的
atmosphere	n.大气；空气
attach	vt.把…给予；系，贴
attack	v.攻击
attempt	v. n.试图，尝试
attend	v.出席
attendance	n.参加；出席
attention	n.注意，留心
attitude	n.态度，看法
attorney	n.(业务或法律事务上的)代理人；辩护律师
attract	v.吸引，引诱
attraction	n.吸引，魅力
attractive	a.吸引人的；有魅力的
attribute	vt.把…归因于
auction	n.／vt.拍卖
audience	n.观众；听众；陈述意见的机会
aunt	n.伯母，婶母，姑母，舅母，姨母
author	n.作者
authority	n.权威；权力
authorize	vt.授权，委任；许可，批准
auto	n.汽车
automatic	a.自动的
automatically	ad.自动地；无意识地
automobile	n.汽车
autonomy	n.自治(权)；自主
availability	n.有效(性)；可得性
available	a.可利用的，可获得的
average	adj.平均的，平常的
avoid	vt.避免
await	vt.等待
awake	a.&amp;v.醒着的；唤醒，醒来，唤起
award	vt.判给；授予
aware	a.知道的；意识到的
awareness	n.意识，觉悟；懂事，明智
away	ad.在远处
awful	adj.极坏的，糟糕的，威严的，可怕的
baby	n.婴儿
back	adv.以前
background	n.背景
backyard	n．后院
bacteria	n.细菌
bad	坏的
badly	adv.坏，恶劣的，严重地，非常
bag	n.书包；提包；袋子
bake	v.烤，烘
balance	n.平衡 v.平衡，权衡
balanced	adj.平衡的；协调的
ball	ball n.球；圆珠 , n.鲍尔(姓)
balloon	n. 气球，玩具气球
ballot	n.投票；投票总数；选票 v.投票表决
ban	vt.禁止，取缔 n.禁止；禁令
banana	香蕉
band	n.一帮，一群；带，带形物；波段
bank	n.银行
banker	n.银行家；银行高级职员
banking	n.银行业
bar	n.酒吧间；条，杆，栅，栏
bare	a.不铺地毯的；赤裸的；光秃的
barely	ad.仅仅，勉强；几乎没有
barn	n.谷仓；牲口棚；库房
barrel	n.桶
barrier	n.障碍；障碍物
base	n.底部；基数
baseball	n.棒球(运动)
basement	n.地下室
basic	adj.基本的，基础的 , n．(电脑)初学者通用符号指令码
basically	ad.基本上，从根本上说
basis	n.基础，根据；主要成份；军事基地
basket	n.篮子
basketball	n.篮球
bat	n.球棒，球拍
bath	Bath 巴斯(英国城市) , n.浴，洗澡；浴缸
bathroom	n.浴室
battery	n.电池(组)；一组，一系列
battle	n.战役
bay	n.海湾，口岸，湾
be	v.是
beach	n.海滨
beam	vi.面露喜色；高兴地微笑
bean	n.豆；豆科植物
bear	熊
beard	n.胡须
beast	n.野兽；牲畜
beat	v.敲打；打
beautiful	a.美的，美好的；漂亮的
beauty	n.漂亮
because	conj.因为
become	vi.成为
bed	n.床
bedroom	n.卧室
bee	n.蜜蜂
beef	n.牛肉
beer	n.啤酒
before	adv.以前，从前
beg	v.乞讨；请求，恳求
begin	v.开始
beginning	n.开始，开端；起源
behalf	n.利益
behave	vi.举动，举止；表现
behavior	n.行为
behavioral	a.行为的
behind	prep.在…之后
being	n.存在
belief	n.相信；信念，信仰
believe	v.相信
bell	n.铃
belly	n.肚，腹部
belong	v.属于
below	prep.在…下面，数量少于，级别低于 adv.下级
belt	n.皮带
bench	n.长凳
bend	n.弯曲 v.弯曲
beneath	prep.在…下面(或底下)，adv.在下面，在底下
benefit	vt.有益于
beside	prep.在…旁边
besides	ad.此外
best	a.最好的；最大的
bet	vt.确信；用…打赌
better	vt.改善
between	prep.在…之间
beyond	prep.在/到…较远的一边，超出，超过
bias	n.偏见
Bible	Bible n.圣经 , n.《圣经》；得到权威支持的典籍
bicycle	n.自行车
bid	v.祝，表示；出价，投标
big	a.大
bike	自行车
bill	Bill 比尔(男名) , n.法案；议案；账单
billion	n.十亿
bind	vt.(bound，bound)捆绑，捆扎
biography	n.个人经历；传记
biological	a.生物学(上)的
biology	n.生物学
bird	n.鸟，禽
birth	n.出生，出身，出世
birthday	n.生日
bishop	n.主教
bit	n.一点，一片，一些
bite	vt./vi./n.咬，叮，蜇
bitter	a.苦的，痛苦的
black	a.黑色的
blade	n. 刀刃，刀片；叶片
blame	v.&amp;n.责备，怪，怨；责任，过失
blank	a.空白的；空着的；茫然的，无表情的
blanket	n.毛毯
blast	n.疾风，强风；爆炸 vt.炸，炸掉
blend	n.混合物
bless	vt.赐福；祝福
blessing	n.幸事，喜事
blind	adj.盲的，瞎的
blink	n./v.眨眼睛，一瞥，闪亮，闪烁
block	n.&amp;v.阻塞，封锁，木块
blond	adj.白肤金发碧眼的，浅色的，金黄色的
blood	n.血，血液
bloody	a.血腥的，血污的
blow	v.&amp;n.吹，吹气，吹响(乐器)，打击
blue	a.&amp;n.蓝色的，青色的；蓝色，青色
board	n.木板，委员会 v.用木板盖，上船，包饭
boast	vi.吹牛，自夸
boat	n.小船
body	n.天体
boil	n.沸点
bold	a.大胆的
bolt	n.螺栓；(门或窗)插销，闩 vt.闩，栓住
bomb	n.炸弹
bombing	n.轰炸
bond	n.联结物；联系
bone	n.骨，骨骼
bonus	n.奖金
book	书
boom	vi.迅速发展，兴盛
boost	n.促进，激励；一抬；一推 vt.推动，增强
boot	n.靴
booth	n.小(房)间；公用电话亭
border	n.边，边缘，边境
boring	a.令人厌烦的
born	a.出生的，产生的；天生的
borrow	v.借
boss	n.老板；上司
both	prep./adj.两个(都)，两者(都)
bother	a.打扰，烦扰
bottle	n.瓶子
bottom	n.底，底部，基础，根基
bounce	vi.弹起;弹跳
boundary	n.分界线，边界
bow	n.弓；蝴蝶结；鞠躬，点头
bowl	n.碗，钵，碗状物
box	n.箱子，盒子
boy	n.男孩
boyfriend	n.男朋友
brain	n.大脑，智力
brake	n.刹车
branch	n.分支
brand	n.商标，牌子
brave	a.勇敢的
bread	n.面包
break	v.&amp;n.打破；破碎；折断；休息时间
breakfast	n.早饭，早餐
breast	n.胸脯，乳房
breath	n.呼吸
breathe	v.呼吸
breathing	n.呼吸
breeze	vi.轻快地行动
brick	n.砖
bride	n.新娘
bridge	n.桥，桥梁
brief	n.摘要
briefly	adv.简短地
bright	a.聪明的
brilliant	a.辉煌的；卓越的
bring	vt.带来
British	British a.英国(人)的 n.英国人 , adj. 英国的
broad	a.宽的，阔的；广泛的
broadcast	n./vt./vi.广播，播音
broken	a.被打碎的，骨折的
broker	n.经纪人，掮客
bronze	n.青铜；青铜色，古铜色；青铜制品，铜牌
brother	n.兄；弟
brown	Brown (人名) , a.棕色的
brush	n.矮灌木丛；断落的树枝
brutal	a.残忍的；残酷的
bubble	v.使...破、裂、碎，损坏
buck	n.(美国口语)元
bucket	n.水桶；一桶之量
buddy	n.a close friend好朋友
budget	n.预算 vt.把…编入预算；安排，预定
bug	n.臭虫，虫子
build	vt./vi.建造；建设
builder	n. 建立者
building	n.建筑物
bulb	n.灯泡; 球根; 球状物
bulk	n.大量，大块
bull	Bull (姓)布尔 , n.公牛；雄的象
bullet	n.子弹
bunch	n.(一)束，(一)串
burden	n.重负；负荷
bureau	n.衣柜
burn	v.烧
burning	a.强烈的，热烈的，迫切的
burst	n.&amp;v.破裂，爆炸
bury	v.埋，安葬
bus	n.公共汽车
bush	n.灌木，灌木状的，荒野，(人)布什
business	n.行业，生意；事务，业务，职责
businessman	n.商人
busy	a.忙，忙碌；繁忙
but	conj.但是
butt	n.柄，底端，蒂头
butter	n.储藏柜，陈列柜
butterfly	n.蝴蝶
button	n.按钮，纽扣
buy	vt.买
buyer	n.购买者；买主
by	ad.在附近
cab	n.出租马车、汽车
cabin	n.小木屋；茅舍
cabinet	n.贮藏橱
cable	n.电缆
cage	v.计算；核算；预测；推测
cake	蛋糕
calculate	vt.计算；估计；计划
calculation	n.计算，计算结果；仔细考虑
calendar	n.日历，历法
call	v.呼叫
calm	a.平静，镇静，沉着
camera	商业;
camp	n.&amp;v.野营，营地，帐篷；设营，宿营
campaign	n.运动
campus	n.大学；校园
can	CAN 加拿大 , 能，能够
Canadian	Canadian a.加拿大(人)的 n.加拿大人 , n. 加拿大人
cancel	vt.offset 取消，撤消；删去
cancer	n.癌
candidate	n.候选人，候补者；应试者
candle	n.蜡烛
candy	n.糖果
canvas	n.帆布画布；油画
cap	n.帽子
capability	n.能力
capable	a.有能力的，有才能的；能…的(of)
capacity	n.能力；容量
capital	n.首都
captain	n.船长，机长
capture	vt.捕获；夺得，占领 n.捕获，捕获物
car	n.小轿车
carbohydrate	n.碳水化合物；[pl.]淀粉质食物
carbon	n.碳
card	n.卡
care	care n.照料 v.管理 , n.照料；保护；小心
career	n.职业；生涯
careful	a.小心的
carefully	adv.小心地；仔细地
cargo	n.船货，货物
carpet	n.地毯
carrier	n.带菌者
carrot	n.胡萝卜
carry	v.搬运，运送，携带
cart	n.双轮运货马车
cartoon	n.漫画，讽刺画
carve	vt.雕刻；雕刻成；靠勤奋创(业)
case	n.情况，事实；病例；案件；箱，盒
cash	n.现金
casino	n.赌场
cast	v.投，掷，抛
casual	a.偶然的，碰巧的
casualty	n.伤亡人员；受害人，损失的东西
cat	cat n.猫 , 电子计算机横断层扫描
catalog	n.目录
catch	vt.捕捉
category	n.门类，种类；范畴；部门
Catholic	a.(兴趣等)广泛的，(人)宽厚的 , n.天主教教徒
cattle	n.牛
cause	n.&amp;v.原因，理由，缘故；引起，起因
cave	n.山洞，窑洞；地窑
cease	vt./vi./n.停止，结束
ceiling	n.天花板
celebrate	v.庆祝
celebration	n.庆祝
celebrity	n.名流；名人
cell	n.细胞
cemetery	n.公墓；墓地
center	n.中心，中央
central	a.中心的
century	n.世纪，一百年
CEO	n.chief executive officer首席执行官
ceremony	n.典礼，仪式；礼节，礼仪
certain	a.确定的
certainly	ad.当然
chain	n.一系列；链子
chair	n.椅子
chairman	n.主席
challenge	n.挑战
chamber	n.房间，寝室；会议厅；议院；会所
champion	n.冠军
championship	n.冠军身份；冠军称号
chance	n.机会
change	n.改变，找头 v.改变，换车
channel	n.频道；航道；渠道 vt.通过…获得，传送
chaos	n.混乱(状态)
chapter	n.章，回，篇
character	n.性格，品质；特性；人物；符号，(汉)字
characteristic	a.特有的，典型的 n.特性，特征
characterize	v.以...为特征；描述...的特征，描绘
charge	vt.索价；指控 n.价钱，费用；负荷
charity	n.慈善
charm	n.魅力；妩媚
chart	n.图(表)
charter	n.宪章
chase	v.追逐，追赶
cheap	a.便宜，贱
cheat	vt.欺骗，骗取 vi.行骗，作弊 n.欺骗；骗子
check	v.&amp;n.检查
cheek	n.面颊
cheer	v.&amp;n.喝采，欢呼；(使)振奋
cheese	n.干酪，奶酪
chef	n.(餐馆等的)厨师长，厨师
chemical	a.化学的
chemistry	n.化学
chest	n.木盒子
chew	vt./vi.咀嚼
chicken	n.小鸡
chief	n.首领
child	n.孩子
childhood	n.童年
chill	v.(使)感到冷；(使)冷
chin	n.下巴
Chinese	Chinese n.中国人；中文；中国的语言 a.中国的 , adj. & n. 中国的；中国人
chip	n.片屑；薄片；电子集成电路片，芯片
chocolate	n.巧克力(糖)
choice	n.选择，选择机会
cholesterol	n.胆固醇
choose	vt.选择
chop	n.(连骨的)块肉
Christian	Christian a.基督教的 , a./n.基督教的；基督教徒
Christianity	n.基督教；基督教义
Christmas	Christmas n.圣诞节 , n. 圣诞节
chronic	adj.长期的；经常的；慢性的
chunk	n.一大块，一厚块 vt.分块，组块
church	church n.教堂 , n.教会
cigarette	n.香烟，纸烟
circle	v.环绕
circuit	n.电路
circumstance	n.情况，环境
cite	vt.举出；引用
citizen	n.公民，市民，居民
citizenship	n.公民身份；公民的权力与义务
city	n.城市
civic	a.公民的，市民的
civil	a.国民的，民用的；国内的，民间的
civilian	a.&amp;n.平民(的)
civilization	n.文明
claim	vt.对...提出要求；声称；主张 n.要求
class	n.班
classic	a.经典的，典型的
classical	a.古典的，经典的
classify	vt.分类，分级
classroom	n.教室
clay	n.粘土
clean	a.&amp;v.清洁，干净；弄清洁
clear	vt.跳过
clearly	ad.清楚地，明白地
clerk	n.办事员，公务员；(美)店员
click	v.发出咔哒或喀嚓声
client	n.客户；委托人
cliff	n.悬崖，峭壁
climate	n.气候; 特殊气候地带
climb	v.&amp;n.爬，攀登
cling	vi.紧握着；粘着
clinic	n.诊所
clinical	a.临床的
clip	n.夹子，别针；弹夹；片断vt.夹住；修剪
clock	n.时钟
close	Close 关闭 , vt.关，闭
closed	adj.关着的
closely	ad.紧密地；严密地，密切地
closest	a.最亲的(为close的最高级)
closet	n.壁橱，橱柜
cloth	n.衣料
clothes	n.衣服
clothing	n.服装；衣着
cloud	n.云，云状物
club	n.棍棒；球棒；俱乐部
clue	n.线索，提示
cluster	n.串，簇；群，组vi.群集，丛生vt.集中
coach	n.四轮大马车
coal	n.煤
coalition	n.结合体，同盟；结合，联合
coast	n.海岸；海滨
coastal	a.海岸的，沿岸的
coat	n.外套
cocaine	n.可卡因
code	n.代码，密码
coffee	n.咖啡
cognitive	a.认知的
coin	n.硬币
cold	a.&amp;n.冷，冷淡；寒冷；感冒
collaboration	n.合作，协作；勾结
collapse	vt./vi./n.(使)倒塌，(使)崩溃；瓦解
collar	n.领子
colleague	n.同事
collect	v.收集，收(税等)
collection	n.收集；收集的东西
collective	adj.集体的
collector	n.收集者；搜集者；收藏者
college	n.学院，大学
colonial	a.殖民地的
colony	n.殖民地
color	n.颜色
colorful	a.艳丽的；丰富多彩的
column	n.柱，圆柱；栏，专栏(文章)
columnist	n.专栏作家
combat	v.与…战斗，与...斗争
combination	n.结合
combine	v.结合，联合，化合，联结
combined	a.结合的
come	vi.来
comedy	n.喜剧；喜剧性事件
comfort	v.&amp;n.慰问，安慰，安逸，舒适
comfortable	a.舒适的
coming	a.正在到来的，即将来到的 n.来到，到达
command	vt.指挥
commander	n.a person in charge; leader 指挥员
comment	n.评论 vi.注释，评论
commercial	a.商业的, 贸易的
commission	v.委托
commissioner	n.(政府厅、局、处等部门)专员；长官；委员
commit	vt.指定…用于
commitment	n.承担的责任或义务，承诺
committee	n.委员会
commodity	n.日用品，商品，物品
common	a.共同的，共有的，共用的
commonly	ad.通常地，常常地
communicate	vi.交流意见、思想等
communication	n.通讯，交流；传达；通讯联系，交通工具
community	n.社区；共同体
companion	n.同伴，同事；［天］伴星(=～star)
company	n.公司；同伴，陪伴
comparable	a.相当的，同类的
compare	v.比较，相比
comparison	n.比较，对比
compel	vt.强迫，迫使
compelling	a.激发兴趣的，有强烈吸引力的；令人信服的
compensation	n.补偿(赔偿)；补偿(赔偿)金
compete	vi.竞争，比赛
competition	n.竞争，比赛
competitive	a.竞争的，比赛的
competitor	n.竞争者；对手
complain	n. 抱怨 v.抱怨
complete	a.全部的
completely	ad.全，完全地
complex	a.复杂的，组合的 n.综合体
complexity	n.复杂(性)
compliance	n.遵守
complicated	a.难懂的；复杂的
comply	v.服从，遵从
component	n.(组)成(部)分；部件a.组成的，构成的
compose	vt.创作(乐曲)
composition	n.作文；写作
compound	a.复合的
comprehensive	a.广泛的，综合的
comprise	vt.构成，组成
compromise	vi.背弃；妥协
computer	n.电脑，计算机
concede	v.承认，承认...为真(或正确)
conceive	vt.怀(胎)；构思
concentrate	vt.集中，聚集；浓缩 vi.集中，专心
concentration	n.集中
concept	n.概念；观念
conception	n.概念，观念，想法
concern	vt.涉及，关系到
concerned	a.有关的；关切的，担心的
concerning	prep.关于，有关
concert	n.音乐会
conclude	vt.推断出，推论出；结束vi.结束，终了
conclusion	n.结论，推论
concrete	n.混凝土
condemn	v.谴责；判刑
condition	n.水管；导管；渠道
conduct	n.行为；管理
conference	n.会议
confess	vt.承认；坦白
confession	n.坦白；忏悔
confidence	n.信任，信心
confident	a.自信的
confirm	vt.证实，肯定；确认
conflict	n.争论，抵触，冲突 vi.冲突，抵触
confront	vt.面对，遭遇；正视，对抗
confrontation	n.对抗，冲突
confuse	vt.搞乱，使糊涂
confusion	n.混乱，慌乱；混淆
Congress	Congress n.美国国会 , n.立法机关
congressional	a.美国国会的，议会的
connect	v.连接
connection	n.连接，关系
conscience	n.良心，道德心
conscious	a.意识到的，感到的；神志清醒的
consciousness	n.awareness 意识，觉悟；知觉
consecutive	a.连续的，连贯的
consensus	n.合意；(意见等的)一致
consent	v.同意
consequence	n.后果；重要性
consequently	ad.所以，因此
conservation	n.保存；保护
conservative	n.(美国)保守党 , a.保守的；小心谨慎的；防腐的 n.保守的人
consider	vt.考虑，细想；认为 vi.考虑，细想
considerable	a.值得考虑的，重要的；相当大或多的
considerably	ad.相当地
consideration	n.考虑；体谅，照顾
consist	vi.组成(of)
consistent	a. in agreement 前后一致的
consistently	ad.始终如一地；一贯地
conspiracy	n.阴谋，密谋；阴谋集团，阴谋帮派
constant	a.永恒的，经久不变的；经常的 n.常数
constantly	ad.不断地；经常地
constitute	vt.形成；构成；组建；选派
constitution	n.法规，宪法，章程；制定；设立；组成
constitutional	a.宪法规定的；合乎宪法的
constraint	n.强制；强制因素，制约条件
construct	vt.构成，形成
construction	n.建造；建筑；建筑物
consult	v.商量，参考
consultant	n.顾问
consume	vt.消耗；消费
consumer	n.消费者，用户
consumption	n.消费(量)
contact	n.接触 vt.与…接触
contain	vt.包含，容纳
container	n.容器
contemplate	vt.(默默地)注视，凝视
contemporary	a.当代的, 同时代的
contend	v.竞争；争论；坚决主张
content	n.内容
contest	n.竞争，比赛；争夺，竞争；争论，争辩
context	n.上下文，语境
continent	continent n.大陆 , n.大陆，洲
continue	v.连续，继续
continued	过去分词 v.持续; 继续存在; 不断发生 a.继续的，连续的
continuous	a.连续的
contract	n.合同，契约 v.订(约)；承包；收缩，缩小
contractor	n.立约人；承包人
contrast	n.对比，对照 vi.形成对比 vt.把…与…对比
contribute	vi.贡献
contribution	n.捐献；贡献
contributor	n.捐助人；纳税人
control	vt./n.控制，支配；克制，抑制
controversial	a.引起争议的
controversy	n.争论，争议
convenience	n.便利，方便
convention	n.习俗，惯例
conventional	a.惯例的，常规的；(艺术等)因袭的
conversation	n.谈话，会话
conversion	n.转变，变换；改变信仰，皈依
convert	vt./vi.(使)转换，(使)变化
convey	vt.转达，传达
convict	vt.证明…有罪(of)；宣判 n.罪犯
conviction	n.深信, 确信, 定罪, 宣告有罪
convince	vt.使确信，使信服
convinced	adj.被说服的
cook	Cook 库克(人名) , n.厨师
cookie	n.a sweet cookie曲奇饼
cooking	n.烹饪
cool	a.凉爽
cooperate	v.合作，协作；配合
cooperation	n.合作，配合
cooperative	a.有合作意向的；合作的n.合作社(企业等)
coordinate	vt.调整
coordinator	协调程序
cop	n.巡警
cope	vi.(妥善地)应付或处理
copy	n.&amp;v.抄件，副本；模仿
cord	n.(电)软线，粗线
core	n.中心；核心；(苹果、梨等果实的)果心
corn	n.玉米
corner	n.角落
corporate	a.法人团体的，公司的；全体的，共同的
corporation	n.有限公司
correct	a.正确的 v.改正 纠正 批改
correctly	ad.正确的，得体的
correlation	n.相互关系，关联
correspondent	n.对应物；新闻通讯员，记者，通信者
corridor	n.走廊，回廊，通路
corruption	n.腐化；道德败坏
cost	n.&amp;v.成本，费用，代价；值，花费
costly	a.昂贵的，代价高昂的
costume	n.(一个地区、一个时期流行的)服装；戏装
cottage	n.村舍；小屋；别墅
cotton	n.棉花，棉纱，棉制品
